Location,State,Number of Households (in 1000),Percentage of households with pets,Number of Pet Households (in 1000),Percentage of Dog Owners,Dog Owning Households (1000s),,,Mean Number of Dogs per household,Dog Population (in 1000),diff k and g,,Percentage of Cat Owners,Cat Owning Households,Mean Number of Cats,Cat Population
California,CA,12974,0.529135193,6865,32.8,4260,8714,0.671650994,1.56971831,6687,2427,0.515415446,28.3,3687,1.9,7118
Texas,TX,9002,58.5,5265,44,3960,,,1.8,7163,3203,,28.3,2544,2.2,5565
Florida,FL,7609,54.4,4138,35.7,2718,4891,0.642791431,1.5,4210,1492,0.553292154,27.3,2079,2.1,4375
New York,NY,7512,50.6,3802,29,2177,5335,0.710197018,1.4,3054,877,0.406549521,29.1,2189,1.9,4261
Pennsylvania,PA,5172,56.9,2942,32.9,1702,3470,0.67092034,1.5,2485,783,0.480471771,33.8,1748,2,3544
Illinois,IL,5026,51.8,2602,32.4,1627,3399,0.676283327,1.5,2365,738,0.470553124,26.3,1321,1.9,2453
Ohio,OH,4661,57.4,2677,36.6,1708,,,1.6,2730,1022,,33.3,1553,2.4,3786
Michigan,MI,3804,55.4,2108,34.6,1318,2486,0.653522608,1.5,2036,718,0.535226078,31.3,1192,2,2420
Georgia,GA,3798,55.1,2093,40.1,1522,,,1.6,2479,957,,27.3,1037,2.1,2162
North Carolina,NC,3701,56.4,2089,40.3,1491,,,1.7,2518,1027,,29.5,1090,2,2220
New Jersey,NJ,3177,50.7,1611,32.4,1028,2149,0.6764243,1.3,1340,312,0.421781555,25.3,803,1.8,1468
Virginia,VA,3017,53.4,1611,35.4,1069,,,1.6,1699,630,,29,876,2.1,1855
Washington,WA,2632,62.7,1649,36.3,954,,,1.7,1609,655,,39,1028,1.8,1844
Massachusetts,MA,2618,50.4,1318,23.6,618,,,1.4,850,232,,34.1,892,1.8,1593
Tennessee,TN,2583,59.6,1540,44.1,1140,,,1.9,2157,1017,,29.8,770,2.3,1749
Arizona,AZ,2515,59.5,1497,40.1,1008,,,1.8,1798,790,,29.6,743,1.9,1438
Missouri,MO,2498,61.4,1534,45.9,1148,,,1.7,1978,830,,32.2,805,2.1,1653
Indiana,IN,2478,59.9,1484,39.9,989,,,1.6,1619,630,,34.4,852,2.2,1912
Wisconsin,WI,2350,57.5,1352,33.9,796,,,1.4,1138,342,,33,776,1.9,1510
Maryland,MD,2169,52.3,1134,30.8,667,,,1.4,915,248,,29.8,645,2.6,1677
Minnesota,MN,2163,53,1146,31.9,690,,,1.4,934,244,,29.7,643,2,1264
Colorado,CO,1986,61.3,1217,42.5,845,,,1.6,1349,504,,32.3,642,1.9,1191
Alabama,AL,1828,59.5,1088,0.441466083,807,,,1.747211896,1410,603,,27.4,501,2.5,1252
Kentucky,KY,1777,61.6,1094,45.9,816,,,1.9,1531,715,,36.8,654,2.1,1349
South Carolina,SC,1759,54.1,951,38.6,678,,,1.8,1191,513,,27.8,490,2.1,1039
Louisiana,LA,1702,55.1,937,36.4,619,,,1.8,1115,496,,25.9,441,2,877
Oregon,OR,1505,63.6,957,38.8,584,,,1.6,917,333,,40.2,605,2,1185
Oklahoma,OK,1479,58.9,872,43.2,638,,,2.1,1327,689,,32.6,482,2.2,1041
Connecticut,CT,1337,54.4,728,28.3,379,,,1.3,507,128,,31.9,427,1.9,796
Iowa,IA,1219,53.6,654,33.4,407,,,1.5,610,203,,30.3,370,2.2,805
Arkansas,AR,1148,62.4,716,47.9,550,,,2,1097,547,,30.6,351,2.3,810
Kansas,KS,1133,61,691,42.3,480,,,1.6,774,294,,33.3,378,1.9,731
Mississippi,MS,1115,56.4,629,45.2,504,,,1.7,846,342,,29.1,324,2.1,668
Nevada,NV,986,55.6,548,37.1,366,,,1.6,578,212,,30.3,299,2.1,625
Utah,UT,930,51.2,476,29.4,273,,,1.5,410,137,,24.6,229,2,455
New Mexico,NM,773,67.6,523,46,356,,,2,703,347,,32,247,2.2,533
West Virginia,WV,765,62.1,475,45.8,350,,,1.8,648,298,,38.1,291,2.2,628
Nebraska,NE,710,51.3,364,33.8,240,,,1.6,374,134,,31.3,222,2.3,514
Idaho,ID,568,62,352,42.7,242,,,1.5,357,115,,34.6,196,2,393
Maine,ME,548,62.9,345,34.6,190,,,1.6,300,110,,46.4,254,1.9,498
New Hampshire,NH,508,56.8,289,30.3,154,,,1.4,212,58,,34.2,174,1.8,309
Rhode Island,RI,434,53,230,29.3,127,,,1.3,161,34,,27.6,120,1.8,212
Montana,MT,410,61.3,251,41.2,169,,,1.7,282,113,,33.6,138,2,277
Delaware,DE,334,56.6,189,33.7,113,,,1.4,163,50,,33.7,113,1.7,187
South Dakota,SD,333,65.6,219,42.8,143,,,1.5,220,77,,39.1,130,2.2,290
District of Columbia,DC,287,21.9,63,13.1,38,,,1.1,42,4,,11.6,33,1.9,63
North Dakota,ND,272,53.9,147,36.1,98,,,1.4,139,41,,31.4,85,2,174
Vermont,VT,265,70.8,188,37.7,100,,,1.4,142,42,,49.5,131,1.8,234
Wyoming,WY,221,61.8,137,38.8,86,,,1.5,125,39,,33.9,75,1.9,144